#NAME?;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
Australia;88,6;92,3;92,7;94,6;95,4;96,1;96,9;97,5;98,2;100,2;100;102;105,4;107,2;108,5;..
Austria;86,8;88;89,6;90,2;91,9;93,9;96,4;98,7;98,7;98,6;100;100,8;101,9;102,7;102,6;103,2
Belgium;90;89,9;92;93,1;95,8;96,9;97,8;99,2;98,6;97,9;100;99,5;99,3;99,8;100,7;..
Canada;91,8;92,9;94,4;94,8;95,1;97,4;98,4;98,4;98,2;98,8;100;101,6;101,6;103;105,1;..
Chile;79;81,4;81,8;82,3;86;90,9;94,1;98;99,9;100,5;100;101,9;107,1;109,7;111,3;..
Czech Republic;72,3;77,9;78,7;82,7;86,4;90,2;96,1;100,2;100,4;97,9;100;101,9;102,2;102,1;103,1;..
Denmark;90,9;90,6;91,3;92,9;95,9;97,4;98,6;98,8;97,3;95,4;100;99,9;101,6;99,9;100,3;100,4
Estonia;64,2;68,1;72,2;75,7;80,4;85,1;89,8;96,7;93,1;94,9;100;98,6;103,9;105,3;107,9;106,5
Finland;87,4;89,4;90,4;92,5;95,5;97,2;99,6;102,7;101,6;96,8;100;101,6;100;100,6;100,6;101,3
France;90,4;91,4;94,4;95,3;96;97,2;100;99,9;99,1;98,5;100;101,1;101,4;103,1;103,1;..
Germany;89,9;92,3;93,5;94,2;95,2;96,6;98,5;100;100,2;97,6;100;102,1;102,6;103,3;103,6;104,2
Greece;87,8;91,4;93,1;97,2;100,2;97,3;101,5;104,1;102,7;100;100;96,7;94,9;94,9;97,2;94,3
Hungary;67,6;71,7;74,5;78,5;82,8;86,6;89,7;90,2;92,6;89,6;100;102,1;101,4;102,7;101,1;101,4
Ireland;77;79,4;83,6;86,1;87,4;88,2;89,9;91,6;91,2;95;100;104,4;105;103,5;106,6;..
Israel;89,1;89,6;88;88,6;92,7;94;97,4;98,5;98,2;97,4;100;102,4;102,7;103,7;104,2;..
Italy;100,2;100,7;99,9;99,2;100,1;100,7;100,7;100,6;100;97,8;100;100,5;100,2;101,1;100,7;100,5
Japan;86,6;87,8;89,7;91,1;93,3;94,5;95,2;96,8;97;96,1;100;100;100,8;102,2;101,8;..
Korea;63,7;65,6;69,6;72,9;76;79,3;82,5;87,4;91,8;93,3;100;106,6;103,5;109,1;108;..
Luxembourg;98,9;96,5;97,6;97,2;99,2;101,2;102,3;105,3;99,6;96,5;100;99,7;96,9;100;101,1;..
Mexico;100,5;101,5;97,7;100,7;102,3;101,7;105,5;107,9;104,6;105,2;100;103,1;103,8;103,4;106;..
Netherlands;91,3;92,1;92,7;94;95,6;98;99,5;100,3;100,3;97,9;100;100,7;100,5;100,8;101,7;102,8
New Zealand;89,4;91;92,8;94,5;94,2;94,1;95,4;99,1;96;101,1;100;101,9;105,9;103,5;102,7;..
Norway;93,7;97;99;102;103,9;105;104,2;102,3;99,2;99,5;100;99,2;100;100,7;101;..
Poland;71,1;73,5;77,5;81;84,2;85,6;88;90,4;90,9;93,6;100;104,7;106,5;108,1;109,4;..
Portugal;88,5;89,4;90,1;90,4;92,4;93,5;95,1;96,6;97,1;96,9;100;101,4;102,4;103,6;102,8;102,7
Slovak Republic;66,2;68,6;73,5;79,3;81,5;84;89;95,7;97,9;95;100;101,7;103,5;106,8;108,7;110,8
Slovenia;79,5;82,1;82,7;85,2;88;94,1;99,6;103,8;103,4;96,8;100;103,4;103,2;102,4;103,5;105,1
Spain;92,2;92,3;92,4;92,8;93;93,3;93,9;95;95,4;97,7;100;101,4;103,9;105,5;105,8;106,5
Sweden;84,5;85,3;88,3;91,7;94,9;97,4;100,6;100,9;99,1;96,8;100;100,7;100,5;101,4;102,2;104,7
Switzerland;89,5;91,4;92,1;91,7;92,4;94,8;97,1;99,2;99,6;97,6;100;99,8;100,4;101,8;102,6;..
United Kingdom;87,1;88,8;91,2;93,9;96,1;96,8;98,8;100,4;100,4;98;100;100,6;99,8;100,2;100,4;102,1
United States;81,3;83,1;85,5;88,1;90,4;92,2;92,9;93,8;94,5;97,3;100;100,2;100,4;100,5;100,8;..
Euro area (19 countries);91,5;92,7;93,7;94,2;95,3;96,2;97,7;98,7;98,5;97,5;100;101,5;102,3;103,5;103,8;..
European Union (28 countries);89;90,7;92,2;93,6;95,1;96,2;97,8;98,8;98,4;97,1;100;101,5;102,4;103,4;103,6;..
OECD - Total;86,5;88;89,5;91,6;93,6;95;96,5;98;97,9;98,2;100;101,2;101,4;102,2;102,6;..
Latvia;61,7;64,3;69,6;75,4;83,6;90,4;95,6;102,8;93,8;96,2;100;103,7;107,3;108,4;111,9;115,5
Lithuania;59,4;66,4;69,5;75,8;77,7;83;89,7;96,1;98,4;94,2;100;107;109,2;112,6;114,2;113
Russia;66,7;70,1;71,7;76,8;81,3;85,5;91,1;96,4;101;96,5;100;102,7;105,1;106,8;107;..
South Africa;..;78,5;81,9;87,8;89,1;86,4;89,9;94,2;91,2;93,7;100;100,3;101,4;101,1;100,9;..
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
